Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
130 OF 2017 DATED 28.08.2017,AFFORDABLE GROUP HOUSING OF 9.95475 ACRES,BREEZ BUILDERS AND DEVELOPERS PVT.LTD.,"SECTOR-33,SOHNA GURUGRAM",GURUGRAM,390.26,292.47,105.89,0,252.16,38.20,0,7.60,0,0,0,0,0,1000,9.95475 (Acre),18-02-2020,100,CERAMIC TILES/VITRIFIED TILES,FITTING FIXTURE SOMANY MARKED CP FITTING CERAMIC TILES UPTO 2 FEET ABOVE THE COUNTER,"PAINTED HARDWOOD FRAME, FLUSH DOORS, MS-Z SECTION FRAME",INDOASAIN MARKED SWITCHES & SOCKETS,OTIS,INDOASIAN SWITCHES & SOCKETS,OBD
GGM/337/69/2019/31 DATED 24.05.2019,EMAAR DIGIHOMES,EMAAR MGF LAND LIMITED,"SECTOR 62, GURUGRAM",GURUGRAM,176,131,23.13,448,102,23,84,90,1228,73,25,39,0,0,22824.29 (Sqr/mtrs),Not available,Not available,IMPORTED MARBLE / VITRIFIED TILE / LAMINATED WOODEN FLOORING,ACRYLIC EMULSION + VITRIFIED / CERAMIC TILES,FACTORY FINISHED ENGINEERED DOOR AND UPVC WINDOW AND BALCONY DOORS,MODULAR SWITCHES,S.S. FINISH INSIDE LIFT CAR,MODULAR SWITCHES,ACRYLIC EMULSION
232 OF 2017 DATED 19.09.2017,10 ACRES (AFFORDABLE GROUP HOUSING PROJECT),GLS INFRATECH PVT.LTD,"SECTOR-4, KHAIKA, GURUGRAM",GURUGRAM,165,226.2,18.25,250.50,167,45,175,52,450,0,15.50,0,0,359,10 (Acre),10-04-2020,70,TILES,TILES,"PAINTED HARDWOOD WITH FLUSH DOOR, POWDER COATED UPVC DOOR/WINDOWS FRAME","USE OF ISI MARK PRODUCT OF SWITCHES, SOCKETS AND WIRES.",AS PER NBCC CODE,NA,OIL BOUND DISTEMPER
119 OF 2017 DATED 28.08.2017,68 AVENUE,VSR INFRATECH PVT.LTD.,"VILLAGE BADSHAHPUR, SECTOR 68
,GURUGRAM",GURUGRAM,64.8,88.06,10.24,0,11.52,3.79,101,0,0,0,0,0,0,0,2.80 (Acre),31-12-2020,90,VITRIFIED TILE,NA,WOODEN DOOR FRAMES & LAMINATED DOOR SHUTTERS & UPVC WINDOW - TOILETS ONLY,NA,HIGH SPEED LIFT,ONLY IN COMMON AREAS,PLASTER WITH OBD PAINT
300 OF 2017 DATED 13.10.2017,PARK SPACIO,BPTP LTD.,SECTOR 37-D,GURUGRAM,92,1080.98,118,944.12,59.95,55,399.65,440.87,0,0,39.96,0,0,0,77680 (Sqr/mtrs),12-10-2020,5,"VITRIFIED TILES IN LIVING& DRAWING, KITCHEN, WOODEN FLOORING IN ALL BEDROOMS.",FLOORING –VITRIFIED TILES DADO -CERAMIC TILES,OUTER - UPVC INTERNAL –RED MIRANDI SIZE-125MMX65MM,LEGRAND & EQUIVILENT,2 NOS.,LEGRAND & EQUIVILENT,ACRYLIC EMULSION
170 OF 2017 DATED 29.08.2017,GROUP HOUSING COLONY,ADANI M2K PROJECTS LLP,"KHEDKI MAZRA, SECTOR 102/102A
, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148 (Sqr/mtrs),Not available,Not available,IMPORTED MARBLE/ LAMINATED FLOORING/ VITRIFIED TILES/ CERAMIC TILE,MODULAR KITCHEN,UPVC WINDOWS,NA,6 PASSENGERS LIFT,NA,NA
118 OF 2017 DATED 28.08.2017,PARAS DEWS,SEPSET PROPERTIES PVT.LTD.,SECTOR-106 GURUGRAM,GURUGRAM,295.30,412.18,106.43,750.00,157.45,21.11,90.00,10.00,0,0,0,0,0,0,13.762 (Sqr/mtrs),31-03-2023,95,IMPORTED MARBLE/VERIFID TILES,CERAMIC TILES/PAINT,LAMINATED SHUTTER,HAVELLS/POLYCAB,JOHNSON/THNSSENKPUPP,HAVELLS/POLYCAB,OBD/ PLASTIC EMULSION (ASIAN/ BERGER)
391 OF 2017 DATED 22.12.2017,AANGAN,ALTON BUILDTECH INDIA PVT. LTD.,"SECTOR 88-A TO 89-A, SUB-TEHS
IL HARSARU, GURUGRAM, HARYANA",GURUGRAM,58,14,13,157,41,0,0,0,0,0,0,0,0,2,1.8125 (Acre),15-12-2022,0,1 HABITABLE SPACES- VITRIFED TILE. 2 TOILET & BALCONY - CERAMIC TILE,1. KITCHEN PLATE FORM -GREEN MARBLE. 2 DADO ABOVE PLATFORM-CERAMIC (600 MM HEIGHT),1. DOOR FRAME -WOODEN 2 WINDOWS- M S Z SECTION,LED FITTING IN COMMON AREAS,TWO NOS IN EACH TOWER ( 1 PASSENGER & 1 STRETCHER CUM FIRE LIFT ),ELECTRICAL POINTS WITH SWTCH & SOCKET AND DB,OBD PAINT
GGM/446/178/2021/14 DATED 22.03.2021,INDEPENDENT FLOORS AT DLF GARDENCITY SECTOR 91/92,DLF HOME DEVELOPERSLIMITED,"DLF GARDENCITY, SECTOR 91 / 9
2,",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS / AL,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,NA
GGM/685/417/2023/29 DATED 02.02.2023,ASHIANA AMARAH PHASE II,ASHIANA HOUSING LIMITED,"REVENUE ESTATE OF VILLAGE- WA
ZIRPUR, SECTOR 93, DISTT. GURUGRAM, HARYANA",GURUGRAM,507,82,56,211,306,16,104,11,0,0,5,0,0,0,3.9378 (Acre),Not available,Not available,"UNITS (A)LIVING/DINING, ENTRANCE FOYER, CORRIDOR LEADING TO BEDROOMS: VITRIFIED TILES (600X600) OR (600X1200). (B) MASTER AND ALL OTHER BATHROOMS: CERAMIC TILES (300X300 OR OTHER SIZES UP TO 600X600) AND/OR COMBINATION. (C) BALCONY: CERAMIC TILES (300X300 OR 300X600 OTHER SIZES UP TO 450X450 AND/OR COMBINATION) SUITABLE QUALITY GLAZED/MATT FINISH. (E) OPEN TERRACE: KOTA STONE/OTHER LOCAL STONE/CERAMIC TILES OF APPROPRIATE QUALITY/STONE MOSAIC FLOOR.","1 STAINLESS STEEL SINK WITH ONE BOWL OF 160-200 MM DEPTH AND A DRAIN BOARD, 1 SWIVAL TYPE SINK MIXER, 2 CP ANGLE VALVE FOR IN AND OUT OF HOT WATER GEYSER, 1CP ANGLE VALVE FOR WATER PURIFIER UNIT/RO, NO TAP IS PROVIDED BELOW SINK, PIPED LPG GAS WITH LPG METER WILL BE PROVIDED, WOODEN KITCHEN CABINET, KITCHEN CHIMNEY WITH HOB AND CHIMNEY",MAIN DOOR FRAME - ENAMEL PAINTED/POWDER COATED / POLISH FINISH. DOOR FRAMES - ENAMEL PAINTED,CONCEALED CONDUITS WITH COPPER WIRES. CONVENIENT POSITION & DISTRIBUTION OF LIGHT AND POWER PLUGS AND PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM AND WATER PURIFIER POINT IN KITCHEN. (B) MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/NORTH WEST/LEGRAND OR EQUIVALENT,NA,"CONCEALED CONDUITS WITH COPPER WIRES, PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM AND WATER PURIFIER POINT IN KITCHEN. MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/NORTH WEST/LEGRAND OR EQUIVALENT",GRANITE AND/OR MARBLE AND/OR QUARTZ STONE AND /VITRIFIED TILES AND/OR CERAMIC TILES AND/OR CEMENT SAND PLASTER AND/OR OTHER LOCAL STONE AND/OR COMBINATION OF ANY TWO OR MORE ITEMS WITH EMULSION PAINT FINISH (WHEREVER APPLICABLE)
337 OF 2017 DATED 27.10.2017,83 METRO STREET,S.V HOUSING PVT. LTD.,"SETOR - 83, GURUGRAM",GURUGRAM,173.05,179.90,36.83,1364.92,71.95,16.12,620.49,0,0,0,90.00,0,0,0,4.20 (Acre),Not available,Not available,STONE / TILE FLOORING IN COMMON AREAS,N/A,ALUMINIUM FRAMES WITH GLASS,ELECTRICAL FITTINGS & FIXTURES NOT PROVIDED,10 NOS,ELECTRICAL FITTINGS & FIXTURES NOT PROVIDED,CEMENT / GYPSUM PLASTER IN COMMON AREAS
27 OF 2017 DATED 28.08.2017,HABITAT,PRIME INFRASTRUCTURE PVT. LTD,"99-A, VILLAGE DHANKOT, GURUGR
AM",GURUGRAM,152.6,218,41.4,300,168.8,22.9,70.5,25,48,0,16,0,0,357.1,5.95625 (Acre),22-01-2021,2,"IMPORTED STONE FLOORING IN LIVING & DINNING, WOODEN FLOORING IN BEDROOMS AND TILE IN TOILET, KITCHEN, UTILITY AREA AND BALCONY.",STONE COUNTER TOP WITH 2FEET HIGH CERAMIC TILES ABOVE THE COUNTER AND CERAMIC TILE ON FLOOR 396 X 396 MM.,DOOR FRAMES - WOODEN WINDOW FRAMES - UPVC.,NA,"TOTAL 17 NOS LIFTS , 07 ARE STRETCHER LIFTS AND 10 ARE PASSENGER LIFTS.",ISI MARKED,"PLASTIC EMULSION, OBD, ENAMEL & WHITE WASH."
186 OF 2017 DATED 14.09.2017,GROUP HOUSING COLONY,GATEVIDA DEVELOPERS PRIVATE LIMITED,"SECTOR 112/113, VILLAGE BAJGH
ERA, GURUGRAM",GURUGRAM,124.88,116.92,43.84,71.63,80.24,12.35,0,4.52,44.70,0,0,0,0,129.64,4.038 (Acre),15-02-2019,100,"MARBLE, LAMINATED WOOD, ENGINEERED WOOD, TILES","VITRIFIED TILE FLOORING, 600MM HIGH TILE DADO ON WALLS, STAINLESS STEEL SINK, EXHAUST FAN","EXTERNAL WINDOWS/DOORS –ALUMINIUM , INTERNAL DOORS WOODEN PAINTED/POLISHED DOOR FRAMES",MODULAR SWITCHES,BRANDED LIFTS,MODULAR SWITCHES,PLASTICEMULSION/ OBD PAINT
GGM/647/379/2022/122 DATED 20.12.2022,SAMSARA VILASA & SAMSARA ARYA,ADANI BRAHMA SYNERGY PRIVATE LIMITED,"PLOT NO. 83, SECTOR-32, GURUG
RAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8256 (Acre),Not available,Not available,IMPORTED MARBLE/VITRIFIED TILES/CERAMIC TILES,MODULAR KITCHEN WITH HOB,ALUMINIUM DOORS & WINDOWS,MODULAR SWITCH & SOCKET,5/6 PASSENGERS,N.A.,EXTERNAL GRADE PAINT
GGM/410/142/2020/26 DATED 21.09.2020,"SOBHA CITY, PHASE-5",SOBHA LIMITED,"REVENUE ESTATE OF BABUPUR VIL
LAGE, VILLAGE BABUPUR, SECTOR-108, GURUGRAM, HARYANA",GURUGRAM,125.83,145.21,59.62,0,80.84,27.62,0,4.39,0,0,0,0,0,0,5.10183 (Acre),Not available,Not available,NATURAL / ENGINEERED STONE FLOORING AND SKIRTING/ LAMINATED WOODEN FLOORING AND SKIRTING / VITRIFIED TILE FLOORING AND SKIRTING /CERAMIC TILE.,"CERAMIC TILE FLOORING, WALL TILING & PLASTIC EMULSION PAINT FOR CEILING.",FRAME – TIMBER FRAME & SHUTTERS – WITH BOTH SIDE MASONITE SKIN.,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION.,CAPACITY - 1 NO. OF 15 PASSENGER & 2 NOS. OF 8 PASSENGER LIFT OF REPUTED MAKE.,NA,PLASTIC EMULSION PAINT FOR WALLS & CEILING.
GGM/506/238/2021/74 DATED 03.11.2021,SMARTWORLD ORCHARD,SUPOSHAA REALCON PRIVATE LIMITED,"SECTOR -61, GURUGRAM MANESAR
URBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,903.51,156.2,222.96,372.0,180.0,76.96,5.00,34.44,0,0,0,0,0,44.78,20.60902 (Acre),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA
GGM/604/336/2022/79 DATED 17.08.2022,WHITELAND BLISSVILLE,WHITELAND CORPORATION PRIVATE LIMITED,SECTOR- 76,GURUGRAM,117.83,114.67,103.94,0,54.80,0,0,3.11,0,0,0,0,0,116.52,1.9256 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/783/515/2024/10 DATED 07.02.2024,DE-LUXE DXP,SIGNATUREGLOBAL BUSINESS PARK PRIVATE LIMITED,"VILLAGE - GADAULI KALAN, SECT
OR-37D, GURUGRAM, HARYANA",GURUGRAM,550.00,553.40,311.00,0,316.74,52.00,0,20.00,0,0,0,0,0,0,16.65625 (Acre),Not available,Not available,MARBLE/VITRIFIED TILES/ PORCELEIN TILES,MARBLE/VITRIFIED TILES/ PORCELEIN TILES,ALUMINUM FRAMES WITH TOUGHENED GLASS,ISI MARKED,4 NOOF FLATES & 4 LIFTS,ISI MARKED,ACRYLIC EMULSION PAINT
GGM/414/146/2020/30 DATED 08.10.2020,SIGNATURE GLOBAL PARK V,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA, SECTOR-36",GURUGRAM,239.96,173.88,116.25,0,98.61,40.40,0,0,0,0,0,0,0,272.62,2.15 (Acre),Not available,Not available,NA,NA,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/596/328/2022/71 DATED 27.07.2022,BIRLA NAVYA (ANAIKA),AVARNA PROJECTS LLP,SECTOR 63A GURUGRAM,GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8331.72 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES FOR MAIN/ INTERNAL DOORS, ANODISED / POWDER COATED FRAMES FOR EXTERNAL DOOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 COMMON LIFT / PLOT + 1 ADDITIONAL LIFT IN 4BHK AS/ LAYOUT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
GGM/475/207/2021/43 DATED 17.08.2021,INDEPENDENT FLOORS AT DLF GARDENCITY SECTOR 91/92,DLF UTILITIES LIMITED,"DLF GARDENCITY, SECTOR 91/92,
GURUGRAM, HARYANA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS / AL,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTING (AS PER RAJAN),AS PER STANDARDS
219 OF 2017 DATED 18.09.2017,2.9812 ACRES COMMERCIAL PROJECT,PLUS PROJECTS PVT. LTD,"SECTOR-62, GURUGRAM",GURUGRAM,48.26,130.36,21.37,200,20,3.75,150,0.86,0,0,0,0,0,0,0.92 (Acre),30-06-2019,100,"GRANITE IN OPEN COURTYARD , PASSAGE , CORRIDORS & STAIRS , VITRIFIED TILES FLOORING","MODULAR TYPE AND OZONE CHANNELS , FLOORING CERAMIC TILES",CHOKHAT FRAME & WINDOW SHUTTER OF SAG WAN AND POLISHABLE WOOD,"GEYSER , FAN",4 LIFT,"GEYSER , FAN",POP AND PAINT
254 OF 2017 DATED 03.10.2017,URBAN HOMES,PYRAMID INFRATECH PVT. LTD.,"SECTOR 70A, GURUGRAM",GURUGRAM,308.50,340.09,118.98,0,279.43,37.89,0,6.81,0,0,0,0,0,0,9.875 (Acre),15-02-2020,100,I PS FLOORING,STONE COUNTER WITH TILE,EXTERNAL D/W M S- Z SECTION,AS PER STANDARD,AS PER STANDARD,AS PER STANDARD,TEXTURE PAINT
GGM/731/463/2023/75 DATED 10.07.2023,SS LINDEN -IV,SS GROUP PRIVATE LIMITED,"SECTOR -85, GURUGRAM",GURUGRAM,79.79,123.42,18.54,200,20,13,5,8.92,160,0,0,0,0,0,6.8468 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/598/330/2022/73 DATED 01.08.2022,WHITELAND BLISSVILLE,WHITELAND CORPORATION PRIVATE LIMITED,SECTOR- 76,GURUGRAM,117.83,114.67,103.94,0,153.6,16.85,0,3.11,0,0,0,0,0,116.52,7.3187 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/518/250/2021/86 DATED 20.12.2021,THE MILLENNIA-IV,STERNAL BUILDCON PRIVATE LIMITED,"VILLAGE GADAULI KALAN, SECTOR
37D, GURUGRAM-MANESAR, DIST. GURUGRAM, HARYANA",GURUGRAM,117.36,164.52,63.5,0,173.42,18.08,0,16.34,0,0,0,0,0,0,5.89 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN (DOOR FRAME), MS / ALUMINIUMN/ UPVC (WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/586/318/2022/61 DATED 04.07.2022,SS LINDEN RESIDENTIAL FLOORS - II,SS GROUP PRIVATE LIMITED,"SS LINDEN, SECTOR-84",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8511 (Acre),Not available,Not available,ITALIAN MARBLE & VITRIFIED TILES,GLAZED 600MM HIGH TILES ABOVE COUNTER LEVEL & BALANCE ACRYLIC PAINT,SOLID HARDWOOD / UPVC FRAMES,MODULER TYPE,01 NO PASSENGER WITH 06 PERSONS CAPACITY,MODULER TYPE,ACRYLIC EMULSION PAINT
GGM/851/583/2024/78 DATED 30.07.2024,SIGNATURE GLOBAL PROXIMA-1 EXTN.,SIGNATUREGLOBAL (INDIA) LIMITED,"VILLAGE - HAYATPUR, SECTOR -8
9, GURUGRAM, HARYANA",GURUGRAM,6.77,47.25,12.91,0,10.42,3.08,0,0.73,0,0,0,0,0,0,0.44375 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,OPEN KITCHEN,"WOODEN DOOR FRAME,ALUMINIUM/UPVC WINDOW",ISI MARKED,OTIS/FUGITE CH/EQUIVALENT,ISI MARKED,NA
GGM/443/175/2021/11 DATED 15.03.2021,INDEPENDENT FLOORS AT DLF GARDENCITY SECTOR 91/92,DLF UTILITIES LIMITED,"DLF GARDEN CITY, SECTOR 91 /
92,",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS / AL DOORS AND WINDOWS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTING,NA
GGM/456/188/2021/24 DATED 15.06.2021,INDEPENDENT FLOORS AT DLF GARDENCITY SECTOR 91/92,DLF RESIDENTIAL PARTNERS LIMITED,"DLF GARDENCITY, SECTOR 91 / 9
2,",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.047 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS / AI,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,NA
GGM/626/358/2022/101 DATED 21.11.2022,ELAN THE PRESIDENTIAL,ELAN AVENUE LIMITED (FORMERLY KNOWN AS AIRMID DEVELOPERS LIMITED),"SITUATED IN SECTOR 106 IN THE
REVENUE ESTATE OF VILLAGE PAWALA KHUSRUPUR TEHSIL KADIPUR DISTRICT GURUGRAM, HARYANA",GURUGRAM,30.79,65.95,54.91,200,15.33,12.00,67.5,186.82,0,0,24.00,133.37,0,0,12.767 (Acre),Not available,Not available,"VITRIFIED TILE, LAMINATE WOODEN FLOORING",SINGLE LEVER COUNTER TOP,FULL HEIGHT WINDOWS- ALUMINIUM PODER COATED SECTIONS AND WOODEN FRAME WITH FLUSH DOOR WITH VENEER FINISH (ON BOTH SIDES) & ARCHITRAVES,FAN AND ELECTRIC POINT,4 LIFTS IN ONE TOWER,"HEAVY DUTY CONDUTING MODULAR SWITCHES, C CURVE MCB",PREMIUM ACRYLIC DISTEMPER
GGM/648/380/2022/123 DATED 20.12.2022,SAMSARA AVASA,ADANI BRAHMA SYNERGY PRIVATE LIMITED,"BLOCK-L, SECTOR-63, VILLAGE-U
LLAHAWAS",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2296 (Acre),Not available,Not available,IMPORTED MARBLE/VITRIFIED TILES/CERAMIC TILES,MODULAR KITCHEN WITH HOB,ALUMINIUM DOORS & WINDOWS,MODULAR SWITCH & SOCKET,5/6 PASSENGERS,N.A.,EXTERNAL GRADE PAINT
GGM/670/402/2023/14 DATED 16.01.2023,GODREJ ICON TOWER 4/E AND TOWER 5/F,OASIS LANDMARKS LLP,SECTOR 88A & 89A,GURUGRAM,76.49,54.73,39.93,0,21.13,12.63,33.75,12.14,0,0,7.33,0,0,0,1.424625 (Acre),31-12-2029,0,"VITRIFIED TILE OR EQV. IN LIVING/DINING, WOODEN FLOORING OR EQV. IN BEDROOMS, ANTI-SKID TILES OR EQV. IN TOILETS, KITCHEN, BALCONY & UTILITY",GRANITE COUNTER WITH SINK AND CP FITTINGS,"TEAK FRAME IN MAIN DOOR, RED MERANDI/ FLUSH DOOR IN INTERNAL DOORS, ALUMINIUM OR EQ. FRAME WITH GLASS FOR WINDOWS & SLIDING DOOR WINDOWS",PHILLIPS OR EQUIVALENT LED LIGHTS IN COMMON AREA,STONE ARCHITRAVE AND ITALIAN MARBLE/STONE FLOORING IN CAR BODY AND GRANITE CLADDING,LED LIGHTS IN COMMON AREA,AS MENTIONED BELOW
GGM/785/517/2024/12 DATED 09.02.2024,THE ESTATE RESIDENCES,ANANT RAJ LIMITED,SECTOR 63A GURUGRAM,GURUGRAM,86,70,80,850,90,10,400,15,0,0,60,0,0,244,5.43263 (Acre),Not available,Not available,TILES/MARBLES/GRANITE/LAMINATED WOOD,"MODULAR KITCHEN WITH APPLIANCES AS PER POINT 6.6 IN UNIT WISE SPECIFICATION, CABINE TRY AND SS SINK",MS/UVC/AL/WOOD/COMPOSITE MATERIAL,NA,BRANDED MAKE,"SWITCH BOX AND SOCKETS, HOME AUTOMATION IN SELECT AREAS AS PER DESIGN",NIL
GGM/801/533/2024/28 DATED 18.03.2024,PREMIER FLOORS,JMS INFRA REALITY PVT. LTD.,"SECTOR 95, VILLAGE-WAZIRPUR",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937 (Sqr/mtrs),Not available,Not available,CERAMIC / VITRIFIED TILES,CERAMIC TILES,"FLUSH DOORS, ALUMINIUM/UPVC","ISI MARK, COPPER & ALUMINIUM",NA,ISI MARK,PAINT
137 OF 2017 DATED 28.08.2017,GREEN COURT,ASTER INFRAHOME PVT. LTD.,"SECTOR-90, VILLAGE- HAYATPUR,
GURUGRAM",GURUGRAM,192.12,279.54,131.21,0,258.27,38.41,0,7.80,20,1500,0,20,0,0,10.0125 (Acre),15-05-2020,15,CERAMIC TILES/ VITRIFIED TILES,NON MODULAR,HARDWOOD DOOR FRAMES WITH FLUSH PANEL/FLUSH DOOR/SKIN DOOR,ISI MARKED,2 IN EACH TOWER,ISI MARKED,DISTEMPER
367 OF 2017 DATED 24.11.2017,IREO SKYON,IREO PVT.LTD.,"SECTOR -60, VILLAGE ULLHAWAS,
GURUGRAM,HARYANA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695 (Acre),Not available,Not available,N.A,N.A,N.A,N.A,N.A,N.A,N.A
44 OF 2017 DATED 11.08.2017,"ASHIANA MULBERRY PHASE 1[TOWER 1,2, 3 & EWS]",ASHIANA DWELLINGS PVT. LTD.,"SEC 2, SOHNA, GURUGRAM",GURUGRAM,64,54,80,377,120,25,85,57,0,0,0,0,0,30,3.15 (Acre),30-06-2020,48,AS PER SCHEDULED SPECIFICATION AND FEATURES,AS PER SCHEDULED SPECIFICATION AND FEATURES,AS PER SCHEDULED SPECIFICATION AND FEATURES,AS PER SCHEDULED SPECIFICATION AND FEATURES,AS PER SCHEDULED SPECIFICATION AND FEATURES,AS PER SCHEDULED SPECIFICATION AND FEATURES,AS PER SCHEDULED SPECIFICATION AND FEATURES
190 OF 2017 DATED 14.09.2017,COMMERCIAL COLONY,ELAN BUILDCON PVT. LTD.,"SECTOR 84, VILLAGE HAYATPUR,
GURUGRAM",GURUGRAM,0,125,45,550,80,35,660,0,0,0,100,0,0,0,5.91875 (Acre),13-09-2023,42,VITRIFIED TILES,KITCHEN ATE COUNTER GRANITE & PLY CABINET WITH LAMINATE FINISH,WOODEN DOOR FRAMES ALUMINIUM FRAME WINDOWS,ABB/ L&T SCHNIDER,MITSUBISHI ( LIFT) OTLS ( ESCALATORS),NA,INTERNAL GRADE POINT
38 OF 2017 DATED 10.08.2017,2.425 ACRES COMMERCIAL COLONY,OJOS DEVELOPERS PVT. LTD.,"SECTOR 70, GURUGRAM",GURUGRAM,0,133.70,17.92,0,60.02,9.31,0,0,0,0,0,0,0,0,9813.611 (Sqr/mtrs),31-12-2020,100,BARE SHELL,NA,NA,NA,NA,NA,BARE SHELL
15 OF 2018 DATED 19.01.2018,10.5437 ACRES GROUP HOUSING COLONY,CHD DEVELOPERS LTD.,"SECTOR-71, GURUGRAM",GURUGRAM,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
119 OF 2017 DATED 28.08.2017,68 AVENUE,VSR INFRATECH PVT.LTD.,"VILLAGE BADSHAHPUR, SECTOR 68
,GURUGRAM",GURUGRAM,107.45,138.55,69.65,1055.00,165.00,26.20,110.00,620.00,600.00,67.79,0.00,0.00,0.00,4531.78,10.461 (Acre),31-12-2021,59.8,VITRIFIED TILES/CERAMIC/WOODEN FLOORING/ANTI-SKID,VITRIFIED/MARBAL/PAINT/BRANDED CP FITTINGS,FLUSH DOOR 32 MM,WIRE POLLYCAB/FILOLEX/HAVELLS NAD ABB,OTIS,ABB,APEX ASIAN
214 OF 2017 DATED 18.09.2017,5.09375 AFFORDABLE GROUP HOUSING COLONY,LOTUS REALTECH PVT. LTD,"SECTOR-111, GURUGRAM",GURUGRAM,252.44,68.20,56.29,250.00,128,19.53,100.25,5.92,46.44,250.00,18.92,0,0,318.11,5.09375 (Acre),31-12-2021,98,TILES,TILES UPTO 2 FEET HIGH ABOVE MARBLE COUNTER & OIL BOUND DISTEMPER IN BALANCE AREA,FLUSH DOORS SHUTTERS AND MS-Z SECTION WINDOWS,NOT PROVIDED,ONE IN EACH TOWER,NOT PROVIDED,OIL BOUND DISTEMPER
