Project Name,Registration No.,Promoter Name,Project Address,Date of Registration
HH SHYAMA ENCLAVE,BRERAP55246-1/988/R-756/2019,HIMALAYA HIRISE PRIVATE LIMITED,"IN FRONT OF ANGAN COMPLEX,NEAR WALMI, 800 MTR BEFORE AIIMS HOSPITAL,NH-98, PHULWARISHARIF, PATNA , Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -817,818",12 Sep 2019
HIGHWAY RESIDENCY,BRERAP00759-1/728/R-400/2019,SATYAMEV DEVELOPCON PRIVATE LIMITED,,06 Feb 2019
HIMALYA PARADISE,BRERAP00152-2/407/R-402/2019,HIMALYA REALTY DEVELOPERS PVT LTD,"CHINI MILL AREA, BUXAR, Block- Buxar Mauja - बक्सर किला District - BuxarPlot No -3689,3690",06 Feb 2019
"HIMALYA PARADISE ARA, SHREE DHANA DEEP",BRERAP120806-1/199/R-1796/2024,HIMALYA HOME SERVICES PVT LTD,"GOUSGANJ, ARA, NEAR GANGI ARA, BHOJPUR, BIHAR , Block- Ara Mauja - गौसगंज District - BhojpurPlot No -1179,1193/3566",10 Jan 2025
HIRA MANI KUNJ APPARTMENT,BRERAP00311-1/223/R-917/2020,NARAYANSHREE BUILDCON PRIVATE LIMITED,"CHAMARI CHAK MAUZA MAINPUR SHANKAR, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -744",05 Mar 2020
HL COMPLEX,BRERAP12645-2/153/R-1463/2022,H.L CONSTRUCTIONS,,13 Sep 2022
HOME LAND APPARTMENT ONE,BRERAP71035-1/924/R-714/2019,HOME LAND BUILDERS AND DEVELOPERS,"PLOT NO-693,MUZA KHALILPURA PATNA, Block- Danapur Mauja - खलीलपुरा District - PatnaPlot No -693",13 Aug 2019
HOPE ROYAL GREENS,BRERAP00148-1/73/R-164/2018,FRONTLINE PROJECT&ENGINEER PRIVATE LTD,"EAST OF  RMRI GULJARBAGH PATNA CITYGANGA BRIDGE ROAD
NEAR , Block- Patna Sadar Mauja - संदलपुर District - PatnaPlot No -1661,1662",13 Sep 2018
HOPE ROYAL GREENS,BRERAP00148-1/73/R-164/2018,FRONTLINE PROJECT&ENGINEER PRIVATE LTD,"EAST OF  RMRI GULJARBAGH PATNA CITYGANGA BRIDGE ROAD
NEAR , Block- Patna Sadar Mauja - संदलपुर District - PatnaPlot No -1661,1662",13 Sep 2018
HOPE ROYAL PALMS,BRERAP00148-2/806/R-826/2019,FRONTLINE PROJECT&ENGINEER PRIVATE LTD,"GHURGDAUR ROAD NEAR GAYAN NIKETAN GIRLS SCHOOL DIGHA PATNA, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -1147",13 Nov 2019
HOPE ROYAL PALMS,BRERAP00148-2/806/R-826/2019,FRONTLINE PROJECT&ENGINEER PRIVATE LTD,"GHURGDAUR ROAD NEAR GAYAN NIKETAN GIRLS SCHOOL DIGHA PATNA, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -1147",13 Nov 2019
HUDA MANSION,BRERAP00265-2/112/R-1440/2022,Kamini Engicons Pvt Ltd.,"HUDA MANSION,AZAD ROAD,CHANDWARA,MUZAFFARPUR, Block- Musahari Mauja - चनदबारा District - MuzaffarpurPlot No -338",18 Aug 2022
I3D COMPLEX,BRERAP70855-1/39/R-1176/2021,PSVS ENTERPRISES LLP,"3D COMPLEX, NEAR GOLA ROAD CROSSING, BAILEY ROAD, DANAPUR, PATNA , Block- Danapur Mauja - धनौत District - PatnaPlot No -86 P",09 Aug 2021
I7 HORIZON,BRERAP94606-2/47/R-1570/2023,NEXGEN INFRA HEIGHTS PRIVATE LIMITED,"KHATA NO-161, PLOT NO-159, SAGUNA MORE, DANAPUR, PATNA , Block- Danapur Mauja - सगुना District - PatnaPlot No -159P",19 May 2023
I7 Planet,BRERAP00031-6/947/R-674/2019,Anshul Homes Pvt. Ltd,"Seven Planet, Near Maa Kanti Utsav Hall, Behind Agriculture College,Bhupatipur, Block- Phulwari Sarif Mauja - सिपारा District - PatnaPlot No -513/507/509/516/515",19 Jun 2019
Icon Plaza,BRERAP00441-1/509/R-788/2019,MITHILA PROPERTIES PUBLICATION & CONTRACT ENTERPRISES PRIVATE LIMITED,"At Bhagwanpur, Muzaffarpur, Thana No.353, Tauzi No.15218, Khata No. 326 (New), 122 (Old), Block- Musahari Mauja - भगवानपुर District - MuzaffarpurPlot No -1334 & 1332(P)(New), 792 & 790 (Old)",18 Oct 2019
ICON RESIDENCY,BRERAP04249-1/925/R-991/2020,DHRUV ICONIC PRIVATE LIMITED,,03 Jul 2020
Icon Tower,BRERAP00532-1/708/R-582/2019,Amar Jyoti Developers Pvt. Ltd.,"Khata-254, PS.: Town, Thana- 470, Mauza-Kasbba, Block- Musahari Mauja - कसबा District - MuzaffarpurPlot No -312, 577, 578",10 Apr 2019
IMPERIAL PARK,BRERAP00864-3/724/R-772/2019,TRICOLOUR PROPERTIES PRIVATE LIMITED,,20 Sep 2019
INCOME TAX RESIDENCY,BRERAP00273-1/355/R-552/2019,GHAR LAKSHMI BUILDCON PRIVATE LIMITED,"LAKHANI BIGHA
DANAPUR, PATNA, Block- Danapur Mauja - धनौत District - PatnaPlot No -1675,1676,1677",18 Jan 2022
INDIRA RESIDENCY,BRERAP00808-2/1047/R-839/2019,SAI HOMES,,20 Nov 2019
INDRA BHAWAN,BRERAP31609-1/1302/R-1056/2020,DARBHANGA SRIJAN REALTORS OPC PVT LTD,,06 Nov 2020
INDRA COMPLEX,BRERAP00722-1/532/R-304/2018,ADITYA NIWAS DEVELOPERS LLP,"DHANAUT, JALALPUR, ABHIMANYU NAGAR, Block- Danapur Mauja - धनौत District - PatnaPlot No -803",17 Dec 2018
INDRA HIEGHTS,BRERAP00367-1/285/R-132/2018,Land Scape Construction,"New Alkapuri, New Bus Stand Road, Chitkohara, GardaniBhagh, Patna-1, Block- Patna Sadar Mauja - चितकोहरा District - PatnaPlot No -1609",10 Aug 2018
INDRA PRABHA,BRERAP00243-1/998/R-751/2019,APNA AWAS CONSTRUCTION PVT.LTD.,"80, Anandpuri, West Boring Canal Road, Patna, Block- Patna Sadar Mauja - राजापुर District - PatnaPlot No -407",30 Aug 2019
INDRA RESIDENCY,BRERAP24626-1/28/R-1551/2023,TIMELINE INFRATECH PRIVATE LIMITED,"MAUZA- DANAPUR SHAHZADPUR,PLOT NO-962,963, KHATA NO-181,165, THANA NO-21, DANAPUR PATNA., Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -962 ,963 P",12 Apr 2023
INDRA RESIDENCY,BRERAP24626-3/187/R-1785/2024,TIMELINE INFRATECH PRIVATE LIMITED,"SHAHZADPUR, PLOT NO-962,963, KHATA NO-181,165, THANA NO- 21, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -962,963 P",06 Dec 2024
INDRALAY,BRERAP00432-3/1007/R-835/2019,ANUPAMA DEVELOPER PRIVATE LIMITED,"RED CROSS ROAD, ADAMPUR , Block- Jagdishpur Sadar Mauja - Adampur Ward - 5 District - BhagalpurPlot No -1124 K, KH, GA, 1129",14 Nov 2019
Indralok Garden,BRERAP00506-3/977/R-669/2019,INDRALOK CONSTRUCTIONS,"Mauza Muharampur, Thana No. 137, Ward No. 02, Circle No.  09, Sheet No. 32, Thana Gandhi Maidan, Patna, Block- Patna Sadar Mauja - मोहर्रमपुर District - PatnaPlot No -724",19 Jun 2019
Indralok Palace,BRERAP01064-1/751/R-348/2019,Rajan Buildcon Pvt Ltd,"Tauzi No. 5243, Mauza Chitkohra, Thana No. 17, Block- Patna Sadar Mauja - चितकोहरा District - PatnaPlot No -202",21 Jan 2019
INDRAM ENCLAVE,BRERAP00184-1/153/R-1276/2022,SUPRIYA DEVELOPERS PRIVATE LIMITED,"INDRAM ENCLAVE, NEAR ABHAY CARBON FACTORY, SHIVPURI, ROAD NO-1, PATNA , Block- Patna Sadar Mauja - ढ़कनपुरा District - PatnaPlot No -06",28 Feb 2022
INDRAPRASTH CITY,BRERAP00183-5/945/R-651/2019,Geetanjali Estate Pvt. Ltd.,"Kurthaul Road,Dariyapur Road,Ramesh Colony,Parsa Bazar,Patna , Block- Phulwari Sarif Mauja - कुरथौल District - PatnaPlot No -511",29 May 2019
INDU UDAY VATIKA,BRERAP14746-3/1281/R-1080/2020,PARI CONSTRUCTION AND DEVELOPER,"MAUZA-SALEMPUR. PRAGANA-PHULWARI, P.S-KHAGAUL, SURVEY THANA-DANAPUR, DISTRICT-PATNA, Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -622",31 Dec 2020
induja homes,BRERAP02818-1/1148/R-1034/2020,INDU DEVI,,31 Aug 2020
INFINITY COMPLEX,BRERAP12742_001/49/R-1738/2024,VASTITUDE CONSTRUCTION LLP,,25 Jun 2024
IOB Galaxy,BRERAP00036-2/72/R-64/2018,ASHIRWAD ENGICON PRIVATE LIMITED,"Danapur Bihta Highway, Thana Bihta, Patna, Block- Bihta Mauja - पैनाल District - PatnaPlot No -8636, 8647, 8389, 8643, 8634, 8635, 8638, 8637",27 Jun 2018
IOB NAGAR (A to F),BRERAP00011-10/191/R-364/2019,AGRANI HOMES PRIVATE LIMITED,"AGRANI IOB NAGAR
OPPOSITE SARARI GUMTI,
NEAR SATNARAYAN SINGH GATE
DANAPUR-801503, Block- Danapur Mauja - सरारी District - PatnaPlot No -1406,1426,1427,1441,1423,1409,1424,1422,1408,1425",24 Jan 2019
IOB NAGAR (G to J),BRERAP00011-11/192/R-305/2018,AGRANI HOMES PRIVATE LIMITED,"AGRANI IOB NAGAR
OPPOSITE SARARI GUMTI
NEAR SATNARAYAN SINGH GATE
DANAPUR - 800027, Block- Danapur Mauja - सरारी District - PatnaPlot No -1410,1411,1412,1413,1376,1422,1423",17 Dec 2018
IOB SATELLITE CITY,BRERAP00080-1/19/R-150/2018,Eastern Estate Construction & Developers Pvt. ltd.,"Turki Chajan road,thana no.161,kerhani,Muzaffarpur, Block- Kudhani Mauja - छाजन District - MuzaffarpurPlot No -9351 and other submitted in hard copy",24 Mar 2023
ISHANI ENCLAVE,BRERAP00025-3/964/R-681/2019,VINEET HOMES PRIVATE LIMITED,"Arya Samaj Mandir Road, Bailey Road,Patna , Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -1565  P",25 Jun 2019
Ishwar Chandra Enclave,BRERAP000043-3/1135/R-986/2020,SK BUILDERS & COLONISOR PRIVATE LIMITED,"Kaliket Nagar Jalalpur danapur, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -39,40",12 Jun 2020
ISLAM MANSION,BRERAP00795-1/584/R-385/2019,MD FAIYAZ AHMAD,"SAKKA TOLI, Block- Patna Sadar Mauja - संदलपुर District - PatnaPlot No -2067 & 2068",31 Jan 2019
ISMAIL RESIDENCY,BRERAP00902-2/628/R-445/2019,EMPIRE ENGICON PRIVATE LIMITED,"Subziagh, Pirbahore, Patna., Block- Patna Sadar Mauja - मोहर्रमपुर District - PatnaPlot No -783",18 Feb 2019
J B MALL,BRERAP00364-1/249/R-120/2018,JAGAT HOMES AND RESORTS PVT LTD,"DANAPUR KHAGAUL ROAD NEAR ST KAREN HIGH SCHOOL, Block- Danapur Mauja - सगुना District - PatnaPlot No -483,486,487",14 Sep 2021
J G COMPLEX,BRERAP00132-4/592/R-211/2018,Kashyap Green Homes Pvt. Ltd.,"Judges Colony Kothwan, Block- Danapur Mauja - कोथवॉ District - PatnaPlot No -260&261",09 Oct 2018
J.B ENCLAVE,BRERAP93535-002/160/R-1632/2024,ARCADIA HOMES,,05 Jan 2024
J.D MANSION,BRERAP92120-1/196/R-1359/2022,SURONDHA CONSTRUCTION LLP,"MAHUABAGH, MAUZA-DHANAUT, BEHIND JHANDA MANDIR, MAHUABAGH, PATNA , Block- Danapur Mauja - धनौत District - PatnaPlot No -1561 P",07 Apr 2022
J.D TOWER,BRERAP000672-1/512/R-984/2020,KRISHNA DEVELOPERS,"MOHARRAMPUR PATNA, Block- Patna Sadar Mauja - मोहर्रमपुर District - PatnaPlot No -782/783/784",12 Jun 2020
J.P Galaxy,BRERAP15818-5/1330/R-1113/2021,SOUMYVINAYAK CONSTRUCTION PVT.LTD,"Ramkrishna Nagar, Mauza-Shekhpura, Block- Sampatchak Mauja - शेखपुरा District - PatnaPlot No -Khata No-02 Plot No-485",28 Jan 2021
JAGANNATH ENCLAVE,BRERAP00020_006/81/R-1722/2024,PATWARI PROJECTS,,19 Nov 2024
JAGANNATH ENCLAVE,BRERAP11052-1/48/R-1369/2022,BUILDMAX DEVELOPERS PRIVATE LIMITED,"JUDGE S COLONY, RPS MORE, DANAPUR, PATNA , Block- Danapur Mauja - सगुना District - PatnaPlot No -418",08 Apr 2022
JAGAT AADYA APARTMENT,BRERAP00056-2/70/R-55/2018,JAGAT DEVELOPERS LIMITED,"SHEIKHPURA ,NEAR JAI SHRI GAS AGENCY , Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -1412, 1413,1421",19 Jun 2018
JAGAT PRASAD ENCLAVE,BRERAP51727-1/169/R-1334/2022,CHAURASIA IRON AND STEEL PVT LTD,"70 Feet Road, Anjanpur Colony, Dasratha, Sipara, Block- Patna Sadar Mauja - चितकोहरा District - PatnaPlot No -1676",01 Apr 2022
Jagdamba Homes,BRERAP00440-1/461/R-599/2019,Jagdamba Buildwell Private Limited,"Gola Road, Shanti Nagar, Danapur, Patna, Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -85 & 86",22 Apr 2019
JAGDAMBA PALACE,BRERAP00849-1/597/R-560/2019,JAI MAA JAGDAMBA CONSTRUCTION,"BHIKHANPUR MAIN ROAD, Block- Jagdishpur Sadar Mauja - भीखनपुर(मुन्दीचक वार्ड 12)- District - BhagalpurPlot No -620",04 Apr 2019
JAGDISH NIKETAN,BRERAP00632-1/478/R-273/2018,VIKRAMSHILA DEVELOPERS PRIVATE LIMITED,"Chankya Vihar Colony, Barari, Bhagalpur, Block- Sabour Mauja - बरारी District - BhagalpurPlot No -148",03 Dec 2018
JAGMOHAN ENCLAVE,BRERAP95348-1/38/R-1310/2022,SINHA ENGICON PRIVATE LIMITED,"MAHADEO COLONY, OFF BHOOTHNATH ROAD, KUMHRAR, P.S- AGAMKUAN, PATNA , Block- Patna Sadar Mauja - कुम्‍हरार District - PatnaPlot No -174 P, 175,176,177",28 Mar 2022
JAGNARAYAN ENCLAVE,BRERAP00551-1/386/R-785/2019,ARUNENDRA DEVELOPERS PRIVATE LIMITED,"JAMSAUT, DANAPUR , Block- Danapur Mauja - जमसौत District - PatnaPlot No -2192",18 Oct 2019
Jagrata,BRERAP91715-1/185/R-1494/2022,JAGRATA CONSTRUCTION,"Plot 44 Khata No 618, Thana-20, Mauza- Dhanaut, P.S- Danapur, Dist-Patna, Block- Danapur Mauja - धनौत District - PatnaPlot No -44",30 Nov 2022
JAHAJI PALACE,BRERAP65704-2/120/R-1263/2022,DURGA HOME CONSTRUCTION,"Mohalla-Machhali Gali,Jakkanpur,P.O-GPO,P.S-Jakkanpur,Patna-800001, Block- Patna Sadar Mauja - जक्‍कनपुर District - PatnaPlot No -49,50",01 Feb 2022
Jaikishore Complex,BRERAP00248-1/222/R-61/2018,Madhusha Infrastructure Private Limited..,"Arpna Bank Colony,Phase -2, Ramjaipal Road,Patna, Block- Danapur Mauja - कोथवॉ District - PatnaPlot No -168/97",26 Jun 2018
Jainendra Enclave,BRERAP00184-1/75/R-46/2018,SUPRIYA DEVELOPERS PRIVATE LIMITED,"Gola Road, Patna , Block- Danapur Mauja - धनौत District - PatnaPlot No -185",13 Jun 2018
JAISHREE APARTMENTS,BRERAP00220-3/102/R-339/2019,GAYATRI HOMES INDIA LIMITED,"JAIPRAKASH PANDEY LANE, P.S -ADAMPUR, Block- Jagdishpur Sadar Mauja - खलीफाबाग(मसाकचक)(वार्ड-7) District - BhagalpurPlot No -615 KA, KHA, GA, GHA",15 Jan 2019
JALALPUR GEMS,BRERAP00081-2/688/R-448/2019,JALALPUR INFRASTRUCTURE PRIVATE LIMITED,"Opp. Gyan Niketan Girls School, Ghurdaur Road, Digha, Patna, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -1283",20 Feb 2019
JALALPUR MEGAMART,BRERAP00081-4/171/R-1481/2022,JALALPUR INFRASTRUCTURE PRIVATE LIMITED,,21 Oct 2022
JALALPUR TOWER,BRERAP00018-2/39/R-24/2018,MUNDESHWARI MULTICON PVT LTD,"WEST OF PATNA CANAL, ABHIMANYU NAGAR, JALALPUR , Block- Danapur Mauja - जलालपुर District - PatnaPlot No -318 (PART)",18 May 2018
JALPAJI COMPLEX,BRERAP00188-1/511/R-573/2019,MANOJ KUMAR BHATT,,08 Apr 2019
JAN AWASIYA YOJANA,BRERAP00759-2/734/R-722/2019,SATYAMEV DEVELOPCON PRIVATE LIMITED,,14 Aug 2019
JANAK NANDANI APARTMENT,BRERAP00242-1/291/R-196/2018,RAJESH KUMAR,"MAHAVIR NAGAR NEAR 90 FEET ROAD BY PASS ROAD PATNA, Block- Phulwari Sarif Mauja - जगनपुरा District - PatnaPlot No -1169,1165,1138,1166",01 Oct 2018
JANAKDHARI SAAKSH ENCLAVE,BRERAP12732-003/59/R-1710/2024,SAAKSH CONSTRUCTION AND DEVELOPERS PRIVATE LIMITED,,14 Jun 2024
JANK STATE,BRERAP00547-2/141/R-1296/2022,SHREE RAVI HOMES PRIVATE LIMITED,"PLOT NO 361PART RAM KRISHNA NAGAR NEAR HDFC BANK SOUTH SIDE OF PATNA NEW BY PASS ROAD, Block- Phulwari Sarif Mauja - ढेलवॉ District - PatnaPlot No -361 PART",15 Mar 2022
JANKI SHRIDHAR TOWER,BRERAP00255-1/159/R-140/2018,SHRIDHAR REALTY,"BODH GAYA, Block- Bodh Gaya Mauja - बोध गया District - GayaPlot No -65,66 KHATA 965",23 Aug 2018
"JAWAHAR COMPLEX, SHABNAM APARTMENT",BRERAP00566-1/433/R-606/2019,NEST BUILD TECH,"NOHSA MORE, PHULWARI SHARIF, Block- Phulwari Sarif Mauja - नोहसा District - PatnaPlot No -201, 182, 730, 731, 732",08 May 2019
JAYANT RESIDENCY,BRERAP00892-2/97/R-1408/2022,LOVELY RANI CONSTRUCTIONS PVT LTD,"PLOT NO-2494 P KHATA NO-1869 TAUZI NO-5728 DIGHA PATNA, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -2494P",13 Jun 2022
JGs PRISTINE,BRERAP41205-2/52/R-1568/2023,J G REALCON PVT LTD,"JGs PRISTINE, BEHIND RADIANT SCHOOL, MUSTAFAPUR, PATNA, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -937, 938, 941P, 940P",19 May 2023
JHA COMPLEX,BRERAP12643-1/31/R-1277/2022,Yashoda Homes,"PLOT NO. 260,266,270,272, Block- Bahadurpur Mauja - बलभद्ररपुर District - DarbhangaPlot No -260,266,270,272",28 Feb 2022
JHA DEV SRI TOWERS,BRERAP92746-1/1268/R-1109/2021,JHA REALESTATE DEVELOPERS AND MARKETING PRIVATE LIMITED,"KHANJARPUR ROAD, KHANJARPUR, BHAGALPUR, Block- Goradih Mauja - जगदीशपुर District - BhagalpurPlot No -1322",28 Jan 2021
JITAN ENCLAVE,BRERAP00246-1/137/R-146/2018,MAATARA HOMES AND DEVELOPERS PRIVATE LIMITED,"PANCHSHEEL NAGAR NEAR DEFENCE COLONY KHAGRI ROAD TAKIA PAR DANAPUR PATNA, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -581",28 Aug 2018
JNJ PANORAMA SQUARE,BRERAP00270-2/483/R-361/2019,SIMANCHAL INFRATECH PRIVATE LIMITED,"AT:- ZILA SCHOL ROAD,PURNIA, Block- Purnia East Mauja - मधुबनी District - PurneaPlot No -910/1077,910/11078",24 Jan 2019
JOYTI COMPLEX,BRERAP00949-2/670/R-605/2019,RAJ CONSTRUCTION,"PLOT NO-240P,MUZA PAKRI,THANA-25,DIST-PATNA, Block- Phulwari Sarif Mauja - पकडी District - PatnaPlot No -204P",08 May 2019
JR Bishwanath Tower,BRERAP93803-1/179/R-1771/2024,Seemanchal JR Residency Private Limited,"Mahadevi Niwas, European Colony, opp Indira Gandhi Stadium, Block- Purnia East Mauja - माधोपाड़ा District - PurneaPlot No -263, 261/2087, 269/1891",23 Oct 2024
JWALA SHREE,BRERAP22418-1/940/R-762/2019,OM CONSTRUCTIONS,"Thana no. 20, CS Plot No. 1169 Part, Khata no. 199, Tauzi no. 5554.Dhanaut Mahuabagh,Mauza- Dhanaut S.Thana- Danapur, Dist Patna, Block- Danapur Mauja - धनौत District - PatnaPlot No -1169 Part",30 Sep 2022
Jyotipuram,BRERAP00850-1/715/R-386/2019,Gupta Products Pvt Ltd,"Khata no. 223, 319, 869, Mauza Balbhadrapur, Block- Bahadurpur Mauja - बलभद्ररपुर District - DarbhangaPlot No -2687(P), 2688(P), 2689(P)",31 Jan 2019
Jyotipuram,BRERAP00850-1/715/R-386/2019,Gupta Products Pvt Ltd,"Khata no. 223, 319, 869, Mauza Balbhadrapur, Block- Bahadurpur Mauja - बलभद्ररपुर District - DarbhangaPlot No -2687(P), 2688(P), 2689(P)",31 Jan 2019
K.M GREENS,BRERAP70754-003/21/R-1694/2024,SAEBAN CONSTRUCTION PVT LTD,,22 May 2024
Kabilaso Enclave,BRERAP00126-1/780/R-379/2019,NEELGEET CONSTRUCTION PVT LTD,"Khata no.75, Plot No.8, Thana no. 112, Tauzi No. 370, Situated at Mauza- Khemnichak,P.S.- Phulwari, at Persent P.S.- Ramkrishna Nagar, Patna (Bihar), Block- Sampatchak Mauja - खेमनीचक District - PatnaPlot No -8",30 Jan 2019
Kabir Nagar,BRERAP84630-1/880/R-1074/2020,Kabir Colonizer and Developers Pvt. Ltd.,,17 Dec 2020
Kailash Enclave,BRERAP00238-2/14/R-1346/2022,Dream Aakar Construction Pvt.Ltd.,"Survey plot No.- 159 P, Khata No.- 125, Thana No.- 35, Tauzi No.- 5059/Bihar Govt. Mauza- Babkarpur, Mohalla- Lekha Nagar, Thana- Danapur, District- Patna, Bihar, Block- Danapur Mauja - ववक्करपुर District - PatnaPlot No -159 P",05 Apr 2022
KAILASH ENCLAVE,BRERAP00530-1/451/R-472/2019,KOSUT BUILDERS AND DEVELPOERS PVT.LTD,"MAUZA PAKRI,PS BEUR,PATNA 20, Block- Phulwari Sarif Mauja - पकडी District - PatnaPlot No -322,325,327,326,329,330,332",27 Feb 2019
KAILASH MANSAROVAR APARTMENT,BRERAP81821-1/1236/R-1046/2020,PAWANSUT BUILDCON INDIA PRIVATE LIMITED,"NEAR GAMMON INDIA PLANT, JALALPUR ABHIMANYU NAGAR, BANK COLONY, DANAPUR, PATNA , Block- Danapur Mauja - जलालपुर District - PatnaPlot No -382 P",30 Sep 2020
KAKRANIA COMPLEX,BRERAP00418-1/471/R-207/2018,ASHA VIHAR PROPERTIES PRIVATE LIMITED,"KHATA NO- 196, WARD-25, KALAMBAGH ROAD, PS- KAZI MOHAMMADPUR, , Block- Musahari Mauja - महमदपुर काजी District - MuzaffarpurPlot No -659 KA, KHA & 660 KA, KHA",08 Oct 2018
KALAKRITI'S LALBAGH,BRERAP00359-1/371/R-175/2018,KALAKRITI CONSTRUCTION,"MAHULI TOLA, HARNICHAK,ANISABAD,PATNA-2, Block- Phulwari Sarif Mauja - हरनीचक District - PatnaPlot No -35,34,31(P)",19 Sep 2018
KALANDI ENGINEERS PRIVATE LIMITED,BRERAP45318-1/1293/R-1064/2020,KALANDI ENGINEERS PRIVATE LIMITED,,24 Nov 2020
KALAWATI ENCLAVE,BRERAP00340-1/312/R-352/2019,YASH RAJ BUILDERS & PROMOTERS PVT LTD,"JAY PRAKASH NAGAR ASHIANA ROAD, Block- Patna Sadar Mauja - सलेमपुर (डुमरा) District - PatnaPlot No -88",22 Jan 2019
Kalyani Enclave,BRERAP35828-1/774/R-585/2019,Nalanda Infra Projects Pvt Ltd,"Holding no. 88, Khata no. 81, ward no. 22, Mohalla Adampur, Bhagalpur, Block- Jagdishpur Sadar Mauja - Adampur Ward - 5 District - BhagalpurPlot No -840/K/TO/DA/925/K/TO/GH",11 Apr 2019
KAMAKHYA ENCLAVE,BRERAP00415-1/292/R-442/2019,RAJ CHHAVIRAJ,"WAZIR YADAV, AT- DUBAHALA, PS- CHANDAUTI, Block- Sadar Gaya Mauja - दुबहल District - GayaPlot No -120/257",15 Feb 2019
KAMAL BAG,BRERAP00252-1/277/R-245/2018,GOLDFISH DEVELOPERS PRIVATE LIMITED,"MOHALLA -LAL,BHADUR SHASTRI PATH KOTWALI GAYA PLOT NO 364/367,157, Block- Sadar Gaya Mauja - आलमगीरपुर ( सर्वे वार्ड 5, 9,15 व 10 District - GayaPlot No -364/367,157",08 Nov 2018
KAMAL ENCLAVE,BRERAP00153-3/931/R-814/2019,LEGEND ASHOKA HOUSING PVT LTD,"In Front of Donbosco School,Asiyana-Digha Road,Patna, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -3964",06 Nov 2019
KAMAL NAYAN RESIDENCY,BRERAP00854-1/686/R-507/2019,ASHOK ENGICON & CONSTRUCTION PRIVATE LIMITED,"Algana, Kako Road, Jehanabad., Block- Kako Mauja - अलगना District - JehanabadPlot No -662",13 Mar 2019
KAMALALAYA BRINDA RESIDENCY,BRERAP00690-2/1228/R-999/2020,BRINDA RESIDENCY PRIVATE LIMITED,"191, A. P COLONY, MAIN ROAD, IN FRONT OF BANK OF INDIA, GAYA , Block- Sadar Gaya Mauja - चन्‍दौती District - GayaPlot No -2344 NEW, 5169 OLD",07 Jul 2020
KAMESHWAR COMPLEX,BRERAP00949-5/1340/R-1132/2021,RAJ CONSTRUCTION,"KANTI FACTORY ROAD, M.G. NAGAR, KANKARBAGH-20, Block- Patna Sadar Mauja - लोहानीपुर District - PatnaPlot No -s.plot no.696 P Khata No.31",11 Feb 2021
KAMINI JAGANNATH MAHESHWARI PALACE,BRERAP00631-2/54/R-1154/2021,Kanishka Buildcon Pvt. Ltd.,"RAJPUT COLONY,PASWAN CHAWK,HAJIPUR VAISHALI, Block- Hajipur Mauja - युसुफपुर दिग्घीखुर्द District - VaishaliPlot No -1015,1016,1017",30 Dec 2021
KAMLA KAVERI COMPLEX,BRERAP00383-1/330/R-513/2019,RAJIV KUMAR SINHA,"KARNA BELA, SHANTI NAGAR, NAWADA, Block- Rajauli Mauja - करनपुर District - NawadaPlot No -174",13 Mar 2019
KAMLA RESIDENCY,BRERAP00396-2/1127/R-1060/2020,Srisatya Sai Homes Pvt. Ltd.,"MAUZA-SIKANDERPUR,THANA NO-17,TAUZI NO-5855,KHATA NO-224,297,PLOT NO-676,677, Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -676,677",11 Nov 2020
KAMTA PRASAD RESIDENCY,BRERAP10526-1/1217/R-1075/2020,MADEHOMES DEVELOPERS PRIAVTE LIMITED,"NEAR VASTU VIHAR PHASE 2 DAV CANTT AREA KHARANTI GAYA, Block- Bodh Gaya Mauja - खरॉटी District - GayaPlot No -KHATA NO.2 OLD 152 NEW PLOT NO.634 OLD 1098 NEW",21 Dec 2020
KANHAIYA PINK CITY,BRERAP00658-2/641/R-763/2019,SKYLINE VILLA LIMITED,"Near Lakhao Petrol Pump, Lakhao, Raja Dumari, Bagusarai., Block- Begusarai Mauja - लाखो District - BegusaraiPlot No -126,180,181,182,183,185,186,187,215,230, 2139/1451",12 Sep 2019
