XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r383881,Parijaat Residency,"Faizabad Road, Lucknow",Price on Request,,Ready to Move,Ask for Details,1000 Sq. Ft (Saleable),Parijaat Infraestate,394 units,80 Acres,Ask for Details,Ask for Details,Faizabad Road,Lucknow East,"Avail 24x7 security for peace of mind.,Delightful kids play areas for family bonding.,Parijaat Residency offers convenient Faizabad Road connectivity.,Avail 24x7 security for peace of mind.,Delightful kids play areas for family bonding.,Parijaat Residency offers convenient Faizabad Road connectivity.,Secure investment opportunity with close proximity.",https://www.squareyards.com/parijaat-infraestate-projects/14245/builder,,1,,UPRERAAGT10119,,Kids' Play Areas / Sand Pits,24*7 Water Supply,24 x 7 Security,Large Green Area,
r392369,DSR Highland Greenz,"Doddakannelli, Bangalore",Rs90.12 Lac - 1.46 Cr,"Rs10,299 Per Sq. Ft",Under Construction,"2, 3 BHK",875 Sq. Ft to 1422 Sq. Ft (Saleable),DSR Infrastructure Pvt Ltd,900 units,10.1 Acres,Ask for Details,Ask for Details,Doddakannelli,East Bangalore,,https://www.squareyards.com/dsr-infrastructure-pvt-ltd-projects/5043/builder,,7,40,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Skating Rink; Rappelling/Rock Climbing,Power Backup; Treated Water Supply; Pet Area; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Private Pool in Select Unit
r425898,Sobha Aranya,"Sector 80, Gurgaon",Rs7.37 Cr - 11.14 Cr,"Rs26,000 Per Sq. Ft",New Launch,"3, 4 BHK",2836 Sq. Ft to 4285 Sq. Ft (Saleable),Sobha,524 units,14.81 Acres,Ask for Details,Ask for Details,Sector 80,New Gurgaon,,https://www.squareyards.com/sobha-projects/104/builder,24 Years Experience,17,179,660/2017/307,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Solar Heaters; Treated Water Supply; Pet Area; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Amphitheater; Indoor Games; Luxurious Clubhouse; Senior Citizen Area
r378897,Sumadhura The Olympus,"Nanakramguda, Hyderabad",Rs1.67 Cr - 3.00 Cr,"Rs7,003 Per Sq. Ft",Under Construction,3 BHK,1670 Sq. Ft to 3000 Sq. Ft (Saleable),Sumadhura,854 units,5.06 Acres,Ask for Details,Ask for Details,Nanakramguda,West Zone,"Strategically located near Old Mumbai Highway and Nehru Outer Ring Road.,RERA approved project with unique Project RERA number P02400003072.,Experience luxurious living with a fully equipped gymnasium.,Enjoy 24x7 power backup for uninterrupted living.,Live in style with premium flooring and walls details.",https://www.squareyards.com/sumadhura-projects/501/builder,23 Years Experience,8,33,REA02400000010,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track,Power Backup; AC Common Areas; High Speed Elevators; Medical Facility; 24*7 Water Supply; Service Elevators; ATM's; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Sewage Treatment Plant; Normal Park / Central Green,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Food Court
r384935,Bhide Bhadane Bhidewadi,"Sinhagad Road, Pune",Rs63.46 Lac - 1.07 Cr,"Rs7,039 Per Sq. Ft",Ready to Move,"2, 3 BHK",581 Sq. Ft to 980 Sq. Ft (Carpet),Bhide Bhadane Realties,79 units,1.1 Acres,Ask for Details,Ask for Details,Sinhagad Road,Pimpri Chinchwad PCMC,,https://www.squareyards.com/bhide-bhadane-realties-projects/6802/builder,,2,,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Solar Heaters; Treated Water Supply; Guest House; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Normal Park / Central Green,Clubhouse; Indoor Games; Senior Citizen Area
r417702,Afzal Heights,"Rajendra Nagar, Hyderabad",Price on Request,,Well Occupied,3 BHK,1500 Sq. Ft (Saleable),Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Rajendra Nagar,South Zone,,,,,,REA02400000010,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r6576,Sanghvi S3 Ecocity Spring,"Mira Road, Thane",Price on Request,"Rs12,977 Per Sq. Ft",Ready to Move,Ask for Details,Ask for Details,Sanghvi S3 Group,226 units,14 Acres,Ask for Details,Ask for Details,Mira Road,Mira Bhayandar,,https://www.squareyards.com/sanghvi-s3-group-projects/3284/builder,,1,34,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles,Gymnasium; Swimming Pool; Kids' Pool; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Large Green Area,Mini Theatre; Clubhouse; Amphitheater; Indoor Games
r370278,Namishree BPS Twin Towers,"Saidabad, Hyderabad",Rs75.00 Lac - 1.32 Cr,"Rs4,615 Per Sq. Ft",Ready to Move,"2, 3 BHK",1050 Sq. Ft to 1855 Sq. Ft (Saleable),Namishree Infrastructure,506 units,3 Acres,Ask for Details,Ask for Details,Saidabad,South Zone,,https://www.squareyards.com/namishree-infrastructure-projects/3623/builder,,4,8,REA02400000010,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r400428,The Banyan Tree Rosetta,"New Town, Kolkata",Rs31.81 Lac - 70.45 Lac,"Rs5,700 Per Sq. Ft",Early Stage,"1, 2, 3 BHK",558 Sq. Ft to 1236 Sq. Ft (Saleable),The Banyan Tree Group,137 units,1 Acres,Ask for Details,Ask for Details,New Town,East Kolkata,"Strategically located on New Town Expressway, 1 min away.,Easy connectivity to Rajarhat Road, 5 min away.,Stunning amenities like gymnasium, power backup ensured.,Luxurious specification with oil bound distemper and vitrified tiles.,Affordable and spacious apartments with perfect blend of comfort.",https://www.squareyards.com/the-banyan-tree-group-projects/2144/builder,,5,,HIRA/A/NOR/2018/000035,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Microwave; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; Day Care Center; 24*7 Water Supply; Separate Enrty /Exit Gates; Multi-level Parking; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Indoor Games; Obeservatory Deck; Hypermarket
r418577,Superior Exotica,"Airoli Sector 7, Navi Mumbai",Rs1.81 Cr - 2.28 Cr,,New Launch,"2, 3 BHK",730 Sq. Ft to 921 Sq. Ft (Carpet),Superior Navkar Builders,66 units,0.39 Acres,Ask for Details,Ask for Details,Airoli Sector 7,Airoli,,https://www.squareyards.com/superior-navkar-builders-projects/20643/builder,,1,,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Swimming Pool; Kids' Play Areas / Sand Pits; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Indoor Games
r385666,SSI Som Boulevard,"Mokila, Hyderabad",Rs5.11 Cr - 7.74 Cr,"Rs13,000 Per Sq. Ft",Under Construction,4 BHK,3931 Sq. Ft to 5956 Sq. Ft (Saleable),Sri Sreenivasa Construction,270 units,41 Acres,Ask for Details,Ask for Details,Mokila,West Zone,,https://www.squareyards.com/sri-sreenivasa-construction-projects/3458/builder,,6,20,REA02400000010,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Indoor Swimming Pool,Power Backup; Medical Facility; Pet Area; 24*7 Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Cards Room; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Jacuzzi; Senior Citizen Area
r393052,DSR Skymarq,"Puppalaguda, Hyderabad",Rs4.60 Cr - 6.27 Cr,"Rs11,500 Per Sq. Ft",Under Construction,4 BHK,3999 Sq. Ft to 5454 Sq. Ft (Saleable),DSR Builders And Developers,644 units,7.11 Acres,Ask for Details,Ask for Details,Puppalaguda,West Zone,"Strategically located near Old Mumbai Highway and Nehru ORR.,RERA-approved project with registration number P02400005887.,Premium apartments in Puppalaguda with 99.74% occupancy.,Enjoy luxurious amenities like Power Backup and 24x7 Security.,Luxurious living with Rain Water Harvesting and Italian/Imported Marble flooring.",https://www.squareyards.com/dsr-builders-and-developers-projects/11852/builder,,3,11,REA02400000010,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; PNG; Home Automation; Treated Water Supply; Pet Area; Car Washing Bays; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Bowling; Conference Room; Spa; Luxurious Clubhouse; Senior Citizen Area
r435547,Bright Way Tejomayam Enclave,"JP Nagar, Bangalore",Price on Request,,Ready to Move,2 BHK,1050 Sq. Ft (Saleable),Bright Way Properties,8 units,Ask for Details,Ask for Details,Ask for Details,JP Nagar,South Bangalore,,https://www.squareyards.com/bright-way-properties-projects/18403/builder,,1,,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r376817,Kedia Aravali,"Machwa, Jaipur",Price on Request,,New Launch,Ask for Details,598 Sq. Ft to 1708 Sq. Ft (Saleable),Kedia builders and Colonizers,294 units,8.85 Acres,Ask for Details,Ask for Details,Machwa,Jaipur West,,https://www.squareyards.com/kedia-builders-and-colonizers-projects/9392/builder,,1,5,RAJ/A/2018/648,,Gymnasium; Cricket; Kids' Play Areas / Sand Pits,24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Large Green Area,
r369498,The Aga Hall Estate,"Mazgaon, Mumbai",Rs2.25 Cr - 8.49 Cr,,Mid Stage,"1, 2, 3, 4 BHK",457 Sq. Ft to 1725 Sq. Ft (Carpet),Prince Aly Khan Hospital,591 units,3.97 Acres,Ask for Details,Ask for Details,Mazgaon,Mumbai South,"Luxurious apartments near Eastern Express Highway in Mumbai.,Nearby Nesbit Road and Eastern Freeway for easy commutes.,24x7 security and power backup for peace of mind.,Spacious master bedrooms with oil-bound distemper walls.,RERA registered project in Mazgaon, Mumbai (P51900026326).",https://www.squareyards.com/prince-aly-khan-hospital-projects/28852/builder,,1,,A51800000454,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Chimney; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area; IGBC Certified Building,Sauna; Party Hall; Clubhouse; Indoor Games; Spa; Serviced Apartments; Senior Citizen Area
r414538,ASBL Loft,"Financial District, Hyderabad",Rs1.61 Cr - 1.78 Cr,"Rs9,499 Per Sq. Ft",Under Construction,3 BHK,1695 Sq. Ft to 1870 Sq. Ft (Saleable),ASBL,894 units,4.92 Acres,Ask for Details,Ask for Details,Financial District,West Zone,,https://www.squareyards.com/asbl-projects/10464/builder,,4,3,REA02400000010,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Gazebo,Power Backup; Treated Water Supply; Medical Facility; Day Care Center; Pet Area; Laundromat; 24*7 Water Supply; ATM's; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Normal Park / Central Green,Cafe / Coffee Bar; Dance Room; Clubhouse; Amphitheater; Indoor Games; Conference Room; Luxurious Clubhouse; Hypermarket; Senior Citizen Area
r426929,Green Edge Signature,"Varthur, Bangalore",Rs1.14 Cr - 2.09 Cr,"Rs8,899 Per Sq. Ft",New Launch,"2, 3, 4 BHK",1280 Sq. Ft to 2345 Sq. Ft (Saleable),Green Edge Developers,216 units,3 Acres,Ask for Details,Ask for Details,Varthur,East Bangalore,"Strategic location near HAL Airport Road and Varthur Main Road.,Replete with amenities like gymnasium and party hall.,Power backup and 24x7 security for optimal living.,Amenities like rainwater harvesting ensure eco-friendly living.,Luxurious specification of acrylic emulsion and vitrified tiles.",https://www.squareyards.com/green-edge-developers-projects/16187/builder,,2,,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Treated Water Supply; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Amphitheater; Indoor Games; Senior Citizen Area
r395988,Annragh Green Earth,"Sunkalpalya, Bangalore",Rs1.20 Cr - 1.50 Cr,"Rs10,000 Per Sq. Ft",Ready to Move,Ask for Details,1200 Sq. Ft to 1500 Sq. Ft (Saleable),Annragh International,119 units,3.09 Acres,Ask for Details,Ask for Details,Sunkalpalya,West Bangalore,"Situated along Mysore Road N R Road, convenient.,Near NICE Peripheral Ring Road, smooth commute.,Rain Water Harvesting and green surroundings.,24*7 Security and Gymnasium for active lifestyle.,24 x 7 Water Supply for effortless living.",https://www.squareyards.com/annragh-international-projects/23004/builder,,1,,PRM/KA/RERA/1251/310/AG/171114/000400,,Gymnasium; Kids' Play Areas / Sand Pits; Gazebo,24*7 Water Supply,24 x 7 Security,Rain Water Harvesting; Large Green Area,
r213691,Shraddha Panorama,"Mulund West, Mumbai",Rs1.17 Cr - 1.94 Cr,,Mid Stage,"1, 2 BHK",411 Sq. Ft to 681 Sq. Ft (Carpet),Shraddha Landmark,218 units,0.71 Acres,Ask for Details,Ask for Details,Mulund West,Mumbai Central Suburbs,,https://www.squareyards.com/shraddha-landmark-projects/3407/builder,12 Years Experience,15,44,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Indoor Games; Senior Citizen Area
